№ измерения,Время (с),Z,Temperature (°C)
1,3.363,12938720,25.9791
2,3.662,12938510,25.9821
3,4.161,12938875,25.9769
4,4.760,12938888,25.9767
5,4.960,12938611,25.9807
6,5.060,12938683,25.9796
7,6.158,12939193,25.9723
8,6.457,12939438,25.9688
9,6.757,12939874,25.9625
10,6.857,12939707,25.9649
11,6.956,12939748,25.9643
12,7.956,12939943,25.9615
13,9.253,12939585,25.9667
14,9.352,12939526,25.9675
15,9.453,12939461,25.9684
16,9.952,12939684,25.9652
17,10.751,12939598,25.9665
18,11.150,12939606,25.9664
19,11.349,12939312,25.9706
20,11.749,12939705,25.9649
21,12.148,12939590,25.9666
22,12.248,12939632,25.9660
23,12.747,12939566,25.9669
24,13.545,12939425,25.9690
